,id,spam,file,words
10,10,1,00159.b16f070a576c2eb1533aa9e2cf8e6b77,"phoboslabsspamassassintaintorg phobos mailczhrbcomcn mailczhrbcomcn exchange internet mail service version increase sales dear consumers increase business sales targeting millions buyers via e-mail million emails mailing software super low price act fresh addresses bring incredible results really want get word regarding services products email best way period advertising newsgroups good competing hundreds even thousands ads customer's see midst free web thousands better huge search buried thousands email allow directly contact potential customers much likely take time read offer easy reading via email rather searching countless postings newsgroups list's divided groups compressed allow use names right order next hours recieve bonuses order next hours recieve full technical support act receive additional cd-rom millions fresh deliverable general internet e-mail addresses free receive books reports manuals cd-rom reprint resale rights produce pennies resell big dollars receive mass mailer delivery software full operating instructions software get mail quick receive informational guide e-mail guide give information need get started one time package deal worth hundreds dollars act limited time offer order supplies last receive dream package unbelievable low low price ordering information check fax services credit card info day service order central place order call ext fax order number credit card orders check fax services __________________________________________ order via credit card simply print order form fax office today ""special price"" effect next seven days back regular price delay business tomorrow accept visa mastercard amex disc checks fax ----------------------cut paste---------------------- ---------------------ez order form--------------------- _____yes want everything ordering within hours include free ""business disk"" bonus along millions e-mail addresses bonus special price shipping indicated _____yes missed hour special ordering super clean e-mail addresses within days ""special"" price _____oop's missed hour day ""specials"" ordering regular price select shipping ____i would like receive package fedex overnight including shipping alaska canada international add total] ____i would like receive package fedex day delivery i'm including shipping canada international delivery continental shipping addresses print note orders cannot shipped without complete information including signature exceptions name____________________________________________________ company name____________________________________________ address_________________________________________________ ship street addresses city state zip________________________________________ phone number____________________________________________ shipping email address___________________________________________ carefully required case question send confirmation order shipped technical support order within type credit card ______visa _____mastercard ______amex ______disc credit __________________________________________ expiration date________________________________________ name card___________________________________________ total amount datex__________________ signaturex_________________________________ understand purchasing e-mail address authorize charge credit card addresses rented mine use mailing over-and-over free bonuses included cannot considered part financial transaction understand responsibility comply laws applicable local area software opened returned however found defective replaced like product charge day service order central place order call ext fax order number credit card orders check fax services would like fax check paste check fax office along order form forms hour fax please paste check fax fax check need mail original draft new check exact information original check checks held bank clearance make payable ""scis"" ---------------------------------------------------------------------- reply message future mailings"
11,11,1,00446.a54877313142d56c24d499d761c48fb1,zzzzasonorg webnotenet smtpeasydnscom webnotenet mailgr smtpeasydnscom reply-to tired paying big bucks cable x-priority x-msmail-priority normal x-mailer microsoft outlook express importance normal tired paying big bucks satellite dont low buy programming card give channels yes including pay channels pay per view never another satellite cable bill little got working unblocked receiver channels movie channels pron channels etc channels unlocked including pay per view events free life
12,12,1,00149.c07359393107925a86798dd72d6a56b3,"phoboslabsspamassassintaintorg mailwebnotenet wwwjangmartcokr webnotenet relayhklinkagenet wwwjangmartcokr ""us conference service"" new easy use web conferencing software quoted-printable web sans web web conference enter per month participants time lus audio meetings virtually line sharing compatible software anytime anywhere anywhere usage groups rate cents per minunte audio easy use service interactive reduce travel try savings turn unnecessary trips problem solving fact finding ferences saving time wear tear overworked business staff find revolutionary concept fill form input helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" helvetica sans-serif"" information"" information iven herein strictly confidential re-distributed reason specific use helvetica sans-serif"" removed distribution lists please"
13,13,1,00327.7f21bc8575786a0e00341a6407b9f286,mailblack-ringiadfwnet mailairmailnet tideiadfwnet tideiadfwnet x-mailer easy free vip-mail x-airmail-delivered x-airmail-spooled x-evolution-source x-status x-keywords
14,14,1,00095.17594a58d6736a8f6a1990b0b92090cd,"phoboslabsspamassassintaintorg phobos gmxat asmtp petvosninet nnfmp unknown nnfmp reply-to must ""gadget"" lovers x-priority x-msmail-priority normal x-mailer bat business importance normal kysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysr kysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysrkysr"
15,15,1,00458.62211764fde0dd7128ea4146268b40dd,zzzzasonorg webnotenet freemailnl webnotenet reply-to fortune work home reps needed x-priority x-msmail-priority normal x-mailer microsoft outlook build importance normal immediate help needed fortune company growing tremendous rate per year simply cannot keep looking motivated individuals looking earn substantial income working home real opportunity make excellent income home experience required provide training need looking energetic self motivated people click link complete online information request form one employment specialist contact looking employed home career provide vast opportunities substantial income please fill online information request form removed list simply click link
16,16,1,00080.5a7386cb47846dfef68429241ad80354,"phoboslabsspamassassintaintorg phobos mail pickup service microsoft smtpsvc impaired risk case month ""iq dus"" x-mailer microsoft cdo windows thread-index x-mimeole produced microsoft mimeole content-class urncontent-classesmessage x-originalarrivaltime multi-part message mime format quoted-printable diversified underwriters services inc impaired risk case month july male non-smoker face amount lbs crohn's disease years major intestinal surgeries steroid therapy years diabetes diversified's answer standard broker's commission let turn clients declined rated current health problems placeable life cases impaired risk life quotes call client get back within hours ext please fill form information name e-mail phone city state broker use public dissemination want anyone receive mailings wish professional communication sent insurance professionals removed mailing list reply message instead legal notice quoted-printable risk case helvetica underwriters services inc"" risk case month"" amount disease major intestinal therapy hypertension commission turn current life impaired risk life quotes"" client get back within ext helvetica sans-serif"" fill form broker use public want anyone receive mailings wish communication sent insurance professionals removed mailing list message instead helvetica sans-serif"""
17,17,1,00005.57696a39d7d84318ce497886896bf90d,"phoboslabsspamassassintaintorg phobos lughtuathaorg lugh lughtuathaorg emailqvescom lughtuathaorg x-authentication-warning lughtuathaorg host claimed emailqvescom emailqvescom microsoft ""slim trim"" x-mailer microsoft cdo windows thread-index content-class urncontent-classesmessage x-mimeole produced microsoft mimeole x-originalarrivaltime [ilug-social] guaranteed lose lbs days precedence irish linux users' group social events thought might like slim guaranteed lose lbs days fight risk cancer get child support deserve free legal advice offer manager daily-deals wish leave list please use link irish linux users' group social events information list maintainer"
18,18,1,00224.0654fe0af51e1dcefa0eb66eb932f55f,"zzzzasonorg tiberiusreynoldsnetau tiberiusreynoldsnetau chipsworldllamasnet tiberiusreynoldsnetau chipsworldllamasnet x-received chipsworldllamasnet x-received via http pdt matuda steven urgent resent-date resent-from ""peter denitto"" resent-to resent-subject urgent resent-message-id x-antivirus reynolds virus scan x-reynoldspurgedate dear sir name steven duba son theo duba zimbabwe got address south african information exchange johannesburg due previous war white farmers zimbabwe president robert mugabe supporters claim white owned farms country ordered white owned farmers surrender farms party members followers father victim oppression inhuman behavior one richest farmers countrymy fayher totaly act presidnt mugabe presidents supporters invaded fathers farm burnt everything farm arrested confiscated investment early last year victimization white farmers president mugabe started late father envisaged worse situation arranged almost money concealed box smuggled zimbabwe diplomatic means south africa arrived south africa lodged box private security company help lawyer south africa without revealing real contents box security company went back home registered box family treasure still detention led death due torture directed lawyer south africa escalation crisis zimbabwe want life danger arrested march last year unfortunately dear father died december came south africa stay africa frustrating depressing fathers lawyer presently hospitalized london due terrible heart problem though lodgment documents want relocate country good presently residence permit south africa asylum permit refugee seeking assistance transferring money security company country country investment think help please try get touch immediately number assistance negotiated ready assist since problem country still lingering please endeavor keep information secret wouldnt want anything expose existence money urgent response highly appreciated sincerely steven duba __________________________________________________ yahoo finance get real-time stock quotes"
19,19,1,00432.40ceb2dcb26e292ea6fd8669dfc9b4c5,"zzzzasonorg invoked uid content-disposition inline x-mailer mime-tools http ""kone bakar"" anticaipting hearing soon x-originating-ip x-originating-server kone bakar tel abidjan ivory coast west-africa dear permit inform desire going business relationship got name contact internet search assistance due esteeming nature must hesitate confide simple sincere business kone bakar child late mrs coulibaly bakar father wealthy cocoa merchant based abidjan economic capital ivory coast poisoned death business associates one outing business meetings mother died october father took special mother dead death father june private hospital abidjan secretly called bedside told sum million five hundred thousandunited states left suspence account local bank abidjan used name son next kin deposit fund also explained wealth poisoned business associates seek foreign partner country choice transfer money use investment purpose please sincerely asking assistance following ways provide bank account money would transferred serve guardian fund since boy years make arrangement come country money transferred moreover sir willing offer total sum compensation successful transfer fund nominated account overseas furthermore indicate opinion towards assisting believe transaction would concluded within seven days signify interest assist appreciate call sending reply anticaipting hearing soon thanks god bless kone bakar tel __________________________________________________________ sign-up free personalized e-mail mailcom"
20,20,1,00061.bec763248306fb3228141491856ed216,"phoboslabsspamassassintaintorg mailwebnotenet correoidatextensionedupe webnotenet correoidatextensionedupe microsoft ""jodie"" instant quote x-originalarrivaltime quoted-printable saved html public html nter gif"" copyright rights would longer ike contact feel email please"
21,21,1,00284.4cdf4c9e9404c79c85ab5ac12ce39e85,"zzzzasonorg asmtp nnfmp ""lncwthe secret message report contact rkq ""lncwthe secret x-mailer mime-tools x-priority frontpage reports would like a{colornavy text-decorationnone font-weightbold font-familyarialhelveticasans-serif} ahover{colorred text-decorationnone font-weightbold font-familyarialhelveticasans-serif} text-decorationnone font-weightbold font-familyarialhelveticasans-serif} text-decorationnone font-weightbold font-familyarialhelveticasans-serif} body{colorblack font-familyverdana} td{font-familyarialhelveticasans-serif} available reports would like top latest news get great special deals costs quit anytime stocks loans financial news stock market government politics discussions credit cards mortgage refinancing loans fitness holidays online pharmacies discounts specials general health fitness tips secrets alternative medicine health care booked vacations special travel discounts checked general interest adultwebmasters general adultwebmasters unrestricted sites adultwebmasters content buyers cassino's online gamblinng dating services personal ads checked send uncensored pictures daily send reports border-style outset border-width mail never sent unsolicited got error removed subscribers list ndtxcpfjspwwtrkaxnxg"
22,22,1,00404.b4bbecbee92f735a845f589582e7695d,"zzzzasonorg mailsmartstreamnet activeaircargose mailsmartstreamnet ""mrs old put reply-to wet horny dirty grandmas remember lusted friend's mum high remember time bent gardening saw sagging breasts v-neck opening summer old loved wanted fuk dirty old mole blue follow link see old dirty moles remove"
23,23,1,00222.77293b7002c5749b9d31a99b2f4e0366,zzzzasonorg webnotenet caramailcom webnotenet reply-to gorgeouscustom websites complete x-priority x-msmail-priority normal x-mailer microsoft outlook express importance normal html public html websites custom websites beautiful custom web site references coast give sites pages add java rollover buttons feedback forms constructed taste specifications use sites completely host megs email accounts control panel front page graphical statistics sites view complete call message center call returned using web based email program yahoo hotmail form instead using info included name phone sales phone current wish receive enter email addresses body wish eliminated future
24,24,1,00074.51aab41b27a9ba7736803318a2e4c8de,phoboslabsspamassassintaintorg phobos hotmailcom asmtp unknown qmqp reply-to adult classifieds x-priority x-msmail-priority normal x-mailer microsoft outlook imo build importance normal
25,25,1,00262.678598cbe253f19239da03b65dac7392,"leramilerctrorg polkastrologycom windows get computer skills need free reply-to x-virus-scanned amavisd-milter x-status x-keywords multi-part message mime format --______boundaryofdocument______ free cd-rom lessons choose titles learn new skills hour compare quick easy free get computer learning video professor choice years video professor taught millions people use computers teach free get free lesson today simple 'what see get' way learn plays like video computer screen complete comprehensive lesson free risk free million satisfied user select titles available free windows outlook excel access powerpoint frontpage works quicken internet word wordperfect lotus dos get free lesson today pay shipping handling conveniently billed visa mastercard america express discover card windows compatible restrictions apply -------------------------------- webstakescom instant winning happens daily webstakescom customer service email sent receiving email opted-in periodically receive emails special offers webstakescom like unsubscribe future emails please see link work please copy paste entire --______boundaryofdocument______ html public html font-family ""times new roman"" times georgia serif font-size font-weight normal margin-top text-align left font-family verdana arial helvetica sans-serif font-size font-weight bold word-spacing running hour waste time sifting manuals commuting classes seminars pop cd-rom simple video straightforward approach makes learning easy watching ready teach day night busy schedule time waste classes seminars fumble boring manuals whatever schedule ready short teaser lessons lesson takes installing software advanced skills beginners surprise knowledge making incredible confident try exceptional learning method turn computer learning lesson started personal computer windows® intenet excel word access frontpage outlook powerpoint wordperfect lotus works quicken free lesson pay shipping handling conveniently billed visa mastercard america express discover card windows compatible restrictions apply webstakescom footer webstakescom customer service email sent receiving email opted-in periodically receive emails special offers webstakescom like unsubscribe future emails please see --______boundaryofdocument______-- please include following line reply"
26,26,1,00364.11dba84b95e0471927d1ebc8ff0017ef,zzzzasonorg webnotenet webnotenet windows great offers introducing chase platinum students introductory x-info sgo html public html saved windowopen receiving mailing member mytotalemailcom subscribed unsubscribe reply email remove line must also include body message unsubscribed correspondence directed company
27,27,1,00250.32279787338af8a5de4cfbc0b837718e,"zzzzasonorg msncom reply-to wall street's dirty little secret x-priority x-msmail-priority normal x-mailer bat business importance normal spring tall goofy looking kid middle school buck-teeth freckles day cafeteria walked table table stealing kids' lunch money rob gun knife made little deal ""let borrow two dollars today"" said ""and i'll bring five dollars next week"" investment good pass kids throwing lunch money like gravy mashed potatoes course ""next week"" rolled around pony cash promised pay even week would let keep investment little bit longer eventually end year came went high school started came girls homework parties sports poor kids eighth grade things mind last year's lunch money made tidy sum middle school kid even get beat hidden inside story two greatest stock market secrets ever learn first greed number one enemy going turn week cash ahead wait boat sink grabbing lifejacket second never trust investment adviser kind looking money ""professionals"" stuffy investment counselors money managers always tell best time buy according guys longer keep money market money going make ask best time sell answer ""never"" sense right put index fund right probably million dollars thirty forty years here's problem want wait thirty forty years hell want money enjoy hard make use fortune seventy years old wheelchair could make million dollars next years would would kind car would fact youth best time rich goal make quick profits market volatility ally stability enemy want see large upswings two hundred points day followed four hundred point crash week later care market went year long unstable that's going make money i'm talking day trading father invests traditional way holds good stocks goes long term years makes money day trader buys sells shares xyz profit minute trade acts quickly taking advantage information disposal certain stock estimating whether within hours sometimes within minutes teach make amazing amounts money rocket science need learn basic principles get started society would believe successful trading complicated requires formal training truth wealthy people use simple investment strategies make money popular media investment professionals portray successful trading difficult complex scare boxing ring want competetion sure hell want paying dollars online trading firm execute trade they'd charge forty fifty dollars make money believe two lies investing difficult risky average person using investment adviser charges high commission safer trading online bucks per trade financial gurus today's society absolutely positively want know strategies profitable day trading fact simple anyone provided spend hours studying reading financial books publications past decade using day trading successfully make four million dollars stock market i've learned following lessons achieving financial success incredibly simple anyone takes hours learn discovered secret day trading become wealthy overnight want instant cash drive wal-mart buy ski mask shotgun rob local bank way get rich quick otherwise hard work knowledge determination learning fundamentals day trading started practicing trading art first weeks brought modest gains next months gave practical experience needed really earn living pulling close six figure income less three years formal financial training minimal effort moderate risk made first million knowledge gained formative trading years willing share new book master trader learn mistakes successes teach simple secret formula day trading i've used profitably year year income day trader staggering thousands even hundreds thousands dollars made lost within minutes difference making money losing shirt simply knowledge provide knowledge give winning edge high-stakes game average income day trader average income excess per year average income excess per year average income excess per year average income per year average income per year reading master trader discover extremely profitable simple yet powerful trading methods give almost unfair trading advantage make win despite current market weakness snippet teach make money whether stock goes learn get stocks within split seconds learn exactly stocks trade exact price buy exact price sell save thousands dollars learning avoid mistakes beginners make learn trade stocks like pro make money consistently every market learn proven strategies give highest chance great success profit huge intraday price swings make money biggest news stories actively manage risks learn realize maximum returns learn use tools information wall street professionals use learn develop maintain winning state mind time ask ""am going listen professionals say buy buy buy never going take control financial future start making money right stock looking best economic interests wealthy wall street stockbroker master trader e-book learn everything need know order get started day trading choosing best broker order take advantage lowest commissions instant order executions professional trading strategies make professional traders millions dollars master trader e-book comprehensive yet easy understand straight-forward book ever written active trading serious success short term stock trading order today start paving road financial future remember scraggly kid eighth high school friends laughed said going make money stock market six years later bought beach-front home california coast cash oops laughing anymore rollercoaster market like today day trading fastest track wealth looking long-term retirement investment risk goes year means ain't kind game want quickest possible way make fortune market lowest element risk order master trader e-book right promise teach secrets helped become millionaire successful day trading need know anything market anyone minimum effort easy game win know pieces move order master trader e-book right clicking link company strictly opposed unsolicited emails removed list please send email"
28,28,1,00236.2772a068fff32e2f8d7f8a94bd9280cd,"zzzzasonorg aolcom return-receipt-to ""receipt delivery reply-to ""subscription manager ""ireland callsaver"" ""customer list"" international calls cents per minute subscription x-priority x-msmail-priority normal x-mailer microsoft outlook build disposition-notification-to importance normal x-mimeole produced microsoft mimeole dear user ever wish could easily call people know countries less standard call make savings without subscribe low cost calling launched product exactly call people popular destinations around world cents per minute hidden charges need signup use credit cards pay extra bills try service risk choose use commitment use new service simply dial access number connected dial actual international number wish call information current list countries call please check website example wanted call german number would dial wait connect system hear message asking dial number wish call dial full international number starting instance code number without initial pay cents per minute access system charges calls make also use service make cheap international calls mobiles however please check costs calling numbers mobile unsure ever pay cost calling access number appear normal bill however international calls make appear bill ever pay cents per minute using service calling mobile please ensure press key dialling actual mobile number billed second call mobile operator questions wish contact information please check website details interested reducing phone bills would like informed similar offers please reply message word unsubscribe heading email forwarded please ensure unsubscribe actual account email sent apologise message inconvenienced way"
29,29,1,00375.1130c29a255fa277c5acbee4d08edacd,"zzzzasonorg webnotenet webnotenet slim factors totally new approach weight loss slim factors font-family ""times new roman"" times serif font-size color factors totally new approach weight loss"" factors totally new approach weight slim factors now"" e-mail intended benefit recipient would like opt-out receive address removed immediately sincerely apologize inconvenience e-mail spam federal regulatory laws united states message sent compliance proposed federal legislation commercial e-mail paragraph bill title iii passed congress message intended residents screening addresses done best technical ability"
30,30,1,00496.1a37de098f6c8847c3c7839d73cc7106,"webnotenet gmt ipn webnotenet gmt datanetro ipn microsoft ""rob"" hurry quoted-printable reply-to x-originalarrivaltime good morning america ranks christmas toy new mini remote control cars stock rywhere parents searching frantically luck kids expecting holiday season lets hope somebody gets hem santa sawyer stores accross country retail price limited stock shipping years est forever"
31,31,1,00443.cac50573829d4df1111b6ead28212e73,"zzzzasonorg mxterraes rdns microsoft ""matt hensley"" boost cell signal reply-to x-mailer egroups message poster x-originalarrivaltime quoted-printable booster arial helvetica arial helvetica cell phone arial elvetica arial helvetica buy another phone bad improve communication instantly simply installing small arial helvetica reception save seen arial helvetica product dropped interrupted place singal times arial arial helvetica easy removed database"
32,32,1,00419.141092086514a246ff2ff8d4bc523400,zzzzasonorg webnotenet loveablecom webnotenet reply-to busy earning living make money x-priority x-msmail-priority normal x-mailer microsoft outlook express importance normal want teach grow motivated qualified communicator personally train minute presentations per day qualify prospects provide demonstrate make day part time using system hours per week case make excess per week currently generating plus introduce mentor makes well excess annually many called chosen make call call hour pre-recorded message number take much little time need see program right please make call unless genuinely money motivated qualified need people already people skills place either made large amounts money past ready generate large amounts money future looking forward call taken database
